Wildlife,City,Month,Oxygen level,Temperature,Humidity,Wind speed,Drought,Topography,Intensity,Possibility of fire
478,"Bydgoszcz, Poland",March,High,High,Low,High,Low,Low,High,High
215,"Lublin, Poland",April,Low,Low,High,Low,High,Low,Low,Low
215,"Bialystok, Poland",May,High,High,Low,High,Low,High,High,High
369,"Katowice, Poland",June,Low,Low,High,Low,High,High,Low,Low
478,"Gdynia, Poland",July,High,High,Low,High,Low,Low,High,High
215,"Czestochowa, Poland",August,Low,Low,High,Low,High,Low,Low,Low
215,"Sosnowiec, Poland",September,High,High,Low,High,Low,High,High,High
215,"Radom, Poland",October,Low,Low,High,Low,High,Low,Low,Low
215,"Kielce, Poland",November,High,High,Low,High,Low,Low,High,High
215,"Gliwice, Poland",December,Low,Low,High,Low,High,High,Low,Low
365,"Braila, Romania",January,Low,Low,High,Low,High,High,Low,Low
215,"Timisoara, Romania",February,High,High,Low,High,Low,Low,High,High
325,"Iasi, Romania",March,Low,Low,High,Low,High,Low,Low,Low
215,"Cluj-Napoca, Romania",April,High,High,Low,High,Low,Low,High,High
478,"Constanta, Romania",May,Low,Low,High,Low,High,High,Low,Low
215,"Craiova, Romania",June,High,High,Low,High,Low,Low,High,High
369,"Galati, Romania",July,Low,Low,High,Low,High,Low,Low,Low
478,"Ploiesti, Romania",August,High,High,Low,High,Low,Low,High,High
215,"Brasov, Romania",September,Low,Low,High,Low,High,High,Low,Low
215,"Oradea, Romania",October,High,High,Low,High,Low,Low,High,High
215,"Pitesti, Romania",November,Low,Low,High,Low,High,Low,Low,Low
215,"Baia Mare, Romania",December,High,High,Low,High,Low,Low,High,High
365,"Novi Sad, Serbia",January,High,High,Low,High,Low,Low,High,High
215,"Nis, Serbia",February,Low,Low,High,Low,High,High,Low,Low
325,"Zemun, Serbia",March,High,High,Low,High,Low,Low,High,High
215,"Kragujevac, Serbia",April,Low,Low,High,Low,High,Low,Low,Low
478,"Cacak, Serbia",May,High,High,Low,High,Low,Low,High,High
215,"Subotica, Serbia",June,Low,Low,High,Low,High,High,Low,Low
369,"Leskovac, Serbia",July,High,Low,Low,High,Low,Low,High,High
215,"Bratislava, Slovakia",January,High,Low,Low,High,Low,High,High,High
325,"Kosice, Slovakia",February,Low,Low,High,Low,High,Low,Low,Low
215,"Presov, Slovakia",March,High,Low,Low,High,Low,Low,High,High
215,"Nitra, Slovakia",April,Low,Low,High,Low,High,High,Low,Low
478,"Zilina, Slovakia",May,High,Low,Low,High,Low,Low,High,High
215,"Banska Bystrica, Slovakia",June,Low,Low,High,Low,High,Low,Low,Low
369,"Trnava, Slovakia",July,High,High,Low,High,Low,High,High,High
478,"Martin, Slovakia",August,Low,Low,High,Low,High,Low,Low,Low
215,"Trencin, Slovakia",September,High,High,Low,High,Low,Low,High,High
215,"Poprad, Slovakia",October,Low,Low,High,Low,High,High,Low,Low
215,"Prievidza, Slovakia",November,High,High,Low,High,Low,Low,High,High
215,"Zvolen, Slovakia",December,Low,Low,High,Low,High,Low,Low,Low
365,"Ljubljana, Slovenia",January,Low,Low,High,Low,High,High,Low,Low
215,"Maribor, Slovenia",February,High,High,Low,High,Low,Low,High,Low
325,"Celje, Slovenia",March,Low,Low,High,Low,High,Low,Low,Low
215,"Kranj, Slovenia",April,High,High,Low,High,Low,Low,High,High
478,"Novo Mesto, Slovenia",May,Low,Low,High,Low,High,High,Low,Low
215,"Ptuj, Slovenia",June,High,High,Low,High,Low,Low,High,High
369,"Velenje, Slovenia",July,Low,Low,High,Low,High,Low,Low,Low
478,"Koper, Slovenia",August,High,High,Low,High,Low,Low,High,High
215,"Nova Gorica, Slovenia",September,Low,Low,High,Low,High,High,Low,Low
215,"Domzale, Slovenia",October,High,High,Low,High,Low,Low,High,High
215,"Kamnik, Slovenia",November,Low,Low,High,Low,High,Low,Low,Low
215,"Izola, Slovenia",December,High,High,Low,High,Low,Low,High,High
365,"Zagreb, Croatia",January,Low,Low,High,Low,High,High,Low,Low
215,"Split, Croatia",February,High,High,Low,High,Low,Low,High,High
325,"Rijeka, Croatia",March,Low,Low,High,Low,High,Low,Low,Low
215,"Osijek, Croatia",April,High,High,Low,High,Low,Low,High,High
478,"Pula, Croatia",May,Low,Low,High,Low,High,High,Low,Low
215,"Varazdin, Croatia",June,High,High,Low,High,Low,Low,High,High
369,"Sibenik, Croatia",July,Low,Low,High,Low,High,Low,Low,Low
478,"Dubrovnik, Croatia",August,High,High,Low,High,Low,Low,High,High
215,"Karlovac, Croatia",September,Low,Low,High,Low,High,High,Low,Low
215,"Zadar, Croatia",October,High,High,Low,High,Low,Low,High,High
215,"Vukovar, Croatia",November,Low,Low,High,Low,High,Low,Low,Low
215,"Makarska, Croatia",December,High,High,Low,High,Low,Low,High,High
215,"Novi Sad, Serbia",January,Low,Low,High,Low,High,High,Low,Low
478,"Nis, Serbia",February,High,High,Low,High,Low,Low,High,High
215,"Kragujevac, Serbia",March,Low,Low,High,Low,High,Low,Low,Low
215,"Leskovac, Serbia",April,High,High,Low,High,Low,High,High,High
478,"Subotica, Serbia",May,Low,Low,High,Low,High,Low,Low,Low
215,"Zrenjanin, Serbia",June,High,High,Low,High,Low,Low,High,High
369,"Pancevo, Serbia",July,Low,Low,High,Low,High,Low,Low,Low
478,"Cacak, Serbia",August,High,High,Low,High,Low,Low,High,High
215,"Novi Pazar, Serbia",September,Low,Low,High,Low,High,High,Low,Low
215,"Kraljevo, Serbia",October,High,High,Low,High,Low,Low,High,High
215,"Smederevo, Serbia",November,Low,Low,High,Low,High,Low,Low,Low
215,"Valjevo, Serbia",December,High,High,Low,High,Low,Low,High,High
365,"Podgorica, Montenegro",January,Low,Low,High,Low,High,Low,Low,Low
215,"Niksic, Montenegro",February,High,High,Low,High,Low,Low,High,High
325,"Pljevlja, Montenegro",March,Low,Low,High,Low,High,Low,Low,Low
215,"Herceg Novi, Montenegro",April,High,High,Low,High,Low,Low,High,High
478,"Bar, Montenegro",May,Low,Low,High,Low,High,High,Low,Low
215,"Bijelo Polje, Montenegro",June,High,High,Low,High,Low,Low,High,High
369,"Cetinje, Montenegro",July,Low,Low,High,Low,High,Low,Low,Low
478,"Ulcinj, Montenegro",August,High,High,Low,High,Low,Low,High,High
215,"Berane, Montenegro",September,Low,Low,High,Low,High,High,Low,Low
215,"Rozaje, Montenegro",October,High,High,Low,High,Low,Low,High,High
215,"Plav, Montenegro",November,Low,Low,High,Low,High,Low,Low,Low
215,"Andrijevica, Montenegro",December,High,High,Low,High,Low,Low,High,High
365,"Sarajevo, Bosnia and Herzegovina",January,Low,Low,High,Low,High,High,Low,Low
215,"Banja Luka, Bosnia and Herzegovina",February,High,High,Low,High,Low,Low,High,High
325,"Tuzla, Bosnia and Herzegovina",March,Low,Low,High,Low,High,Low,Low,Low
215,"Zenica, Bosnia and Herzegovina",April,High,High,Low,High,Low,Low,High,High
478,"Mostar, Bosnia and Herzegovina",May,Low,Low,High,Low,High,High,Low,Low
215,"Bihac, Bosnia and Herzegovina",June,High,High,Low,High,Low,Low,High,High
369,"Brcko, Bosnia and Herzegovina",July,Low,Low,High,Low,High,Low,Low,Low
478,"Prijedor, Bosnia and Herzegovina",August,High,High,Low,High,Low,Low,High,High
215,"Doboj, Bosnia and Herzegovina",September,Low,Low,High,Low,High,High,Low,Low
215,"Cazin, Bosnia and Herzegovina",October,High,High,Low,High,Low,Low,High,High
215,"Visoko, Bosnia and Herzegovina",November,Low,Low,High,Low,High,Low,Low,Low
215,"Velika Kladusa, Bosnia and Herzegovina",December,High,High,Low,High,Low,Low,High,High
215,"Tbilisi, Georgia",January,High,High,Low,High,Low,High,High,High
325,"Kutaisi, Georgia",February,Low,Low,High,Low,High,Low,Low,Low
215,"Batumi, Georgia",March,High,High,Low,High,Low,Low,High,High
215,"Rustavi, Georgia",April,Low,Low,High,Low,High,High,Low,Low
478,"Zugdidi, Georgia",May,High,High,Low,High,Low,Low,High,High
215,"Poti, Georgia",June,Low,Low,High,Low,High,Low,Low,Low
369,"Gori, Georgia",July,High,High,Low,High,Low,Low,High,High
478,"Samtredia, Georgia",August,Low,Low,High,Low,High,High,Low,Low
215,"Khashuri, Georgia",September,High,High,Low,High,Low,Low,High,Low
215,"Senaki, Georgia",October,Low,Low,High,Low,High,Low,Low,Low
215,"Akhaltsikhe, Georgia",November,High,High,Low,High,Low,Low,High,High
215,"Kobuleti, Georgia",December,Low,Low,High,Low,High,Low,Low,Low
365,"Yerevan, Armenia",January,Low,Low,High,Low,High,High,Low,Low
215,"Gyumri, Armenia",February,High,High,Low,High,Low,Low,High,High
325,"Vanadzor, Armenia",March,Low,Low,High,Low,High,Low,Low,Low
215,"Vagharshapat, Armenia",April,High,High,Low,High,Low,Low,High,High
478,"Hrazdan, Armenia",May,Low,Low,High,Low,High,High,Low,Low
215,"Abovyan, Armenia",June,High,High,Low,High,Low,Low,High,High
369,"Kapan, Armenia",July,Low,Low,High,Low,High,Low,Low,Low
478,"Ararat, Armenia",August,High,High,Low,High,Low,Low,High,High
215,"Armavir, Armenia",September,Low,Low,High,Low,High,High,Low,Low
215,"Sevan, Armenia",October,High,High,Low,High,Low,Low,High,High
215,"Ijevan, Armenia",November,Low,Low,High,Low,High,Low,Low,Low
215,"Gavar, Armenia",December,High,High,Low,High,Low,Low,High,High
215,"Baku, Azerbaijan",January,Low,Low,High,Low,High,High,Low,Low
478,"Ganja, Azerbaijan",February,High,High,Low,High,Low,Low,High,High
215,"Sumqayit, Azerbaijan",March,Low,Low,High,Low,High,Low,Low,Low
215,"Mingachevir, Azerbaijan",April,High,High,Low,High,Low,Low,High,High
478,"Qaracuxur, Azerbaijan",May,Low,Low,High,Low,High,High,Low,Low
215,"Shirvan, Azerbaijan",June,High,High,Low,High,Low,Low,High,High
369,"Nakhchivan, Azerbaijan",July,Low,Low,High,Low,High,Low,Low,Low
478,"Shaki, Azerbaijan",August,High,High,Low,High,Low,Low,High,High
215,"Yevlakh, Azerbaijan",September,Low,Low,High,Low,High,High,Low,Low
215,"Khankendi, Azerbaijan",October,High,High,Low,High,Low,Low,High,High
215,"Agdam, Azerbaijan",November,Low,Low,High,Low,High,Low,Low,Low
215,"Lankaran, Azerbaijan",December,High,High,Low,High,Low,Low,High,High
365,"Tehran, Iran",January,Low,Low,High,Low,High,High,Low,Low
215,"Mashhad, Iran",February,High,High,Low,High,Low,Low,High,High
325,"Isfahan, Iran",March,Low,Low,High,Low,High,Low,Low,Low
215,"Tabriz, Iran",April,High,High,Low,High,Low,Low,High,High
478,"Shiraz, Iran",May,Low,Low,High,Low,High,High,Low,Low
215,"Karaj, Iran",June,High,High,Low,High,Low,Low,High,High
369,"Qom, Iran",July,Low,Low,High,Low,High,Low,Low,Low
478,"Ahvaz, Iran",August,High,High,Low,High,Low,Low,High,High
215,"Kermanshah, Iran",September,Low,Low,High,Low,High,High,Low,Low
215,"Urmia, Iran",October,High,High,Low,High,Low,Low,High,High
215,"Rasht, Iran",November,Low,Low,High,Low,High,Low,Low,Low
215,"Kerman, Iran",December,High,High,Low,High,Low,Low,High,High
478,"Bandar Abbas, Iran",January,Low,Low,High,Low,High,High,Low,Low
215,"Yazd, Iran",February,High,High,Low,High,Low,Low,High,High
325,"Esfahan, Iran",March,Low,Low,High,Low,High,Low,Low,Low
215,"Kermanshah, Iran",April,High,High,Low,High,Low,Low,High,High
478,"Ahvaz, Iran",May,Low,Low,High,Low,High,High,Low,Low
215,"Mashhad, Iran",June,High,High,Low,High,Low,Low,High,High
369,"Qom, Iran",July,Low,Low,High,Low,High,Low,Low,Low
478,"Karaj, Iran",August,High,High,Low,High,Low,Low,High,High
215,"Shiraz, Iran",September,Low,Low,High,Low,High,High,Low,Low
215,"Tabriz, Iran",October,High,High,Low,High,Low,Low,High,High
215,"Bandar Abbas, Iran",November,Low,Low,High,Low,High,Low,Low,Low
215,"Yazd, Iran",December,High,High,Low,High,Low,Low,High,High
365,"Baghdad, Iraq",January,Low,Low,High,Low,High,High,Low,Low
215,"Basra, Iraq",February,High,High,Low,High,Low,Low,High,High
325,"Mosul, Iraq",March,Low,Low,High,Low,High,Low,Low,Low
215,"Erbil, Iraq",April,High,High,Low,High,Low,Low,High,High
478,"Kirkuk, Iraq",May,Low,Low,High,Low,High,High,Low,Low
215,"Najaf, Iraq",June,High,High,Low,High,Low,Low,High,High
369,"Karbala, Iraq",July,Low,Low,High,Low,High,Low,Low,Low
478,"Nasiriyah, Iraq",August,High,High,Low,High,Low,Low,High,High
215,"Hilla, Iraq",September,Low,Low,High,Low,High,High,Low,Low
215,"Amara, Iraq",October,High,High,Low,High,Low,Low,High,High
215,"Fallujah, Iraq",November,Low,Low,High,Low,High,Low,Low,Low
215,"Ramadi, Iraq",December,High,High,Low,High,Low,Low,High,High
478,"Sana'a, Yemen",January,Low,Low,High,Low,High,High,Low,Low
215,"Aden, Yemen",February,High,High,Low,High,Low,Low,High,High
325,"Taiz, Yemen",March,Low,Low,High,Low,High,Low,Low,Low
215,"Hodeidah, Yemen",April,High,High,Low,High,Low,Low,High,High
478,"Ibb, Yemen",May,Low,Low,High,Low,High,High,Low,Low
215,"Mukalla, Yemen",June,High,High,Low,High,Low,Low,High,High
369,"Dhamar, Yemen",July,Low,Low,High,Low,High,Low,Low,Low
478,"Amran, Yemen",August,High,High,Low,High,Low,Low,High,High
215,"Saada, Yemen",September,Low,Low,High,Low,High,High,Low,Low
215,"Al Hudaydah, Yemen",October,High,High,Low,High,Low,Low,High,High
215,"Sana'a, Yemen",November,Low,Low,High,Low,High,Low,Low,Low
215,"Aden, Yemen",December,High,High,Low,High,Low,Low,High,High
365,"Muscat, Oman",January,Low,Low,High,Low,High,High,Low,Low
215,"Seeb, Oman",February,High,High,Low,High,Low,Low,High,High
325,"Salalah, Oman",March,Low,Low,High,Low,High,Low,Low,Low
215,"Bawshar, Oman",April,High,High,Low,High,Low,Low,High,High
478,"Sohar, Oman",May,Low,Low,High,Low,High,High,Low,Low
215,"As Suwayq, Oman",June,High,High,Low,High,Low,Low,High,High
369,"Ibri, Oman",July,Low,Low,High,Low,High,Low,Low,Low
478,"Nizwa, Oman",August,High,High,Low,High,Low,Low,High,High
215,"Sur, Oman",September,Low,Low,High,Low,High,High,Low,Low
215,"Rustaq, Oman",October,High,High,Low,High,Low,Low,High,High
215,"Sohar, Oman",November,Low,Low,High,Low,High,Low,Low,Low
215,"Muscat, Oman",December,High,High,Low,High,Low,Low,High,High
478,"Dhaka, Bangladesh",January,Low,Low,High,Low,High,High,Low,Low
215,"Chittagong, Bangladesh",February,High,High,Low,High,Low,Low,High,Low
325,"Khulna, Bangladesh",March,Low,Low,High,Low,High,Low,Low,Low
215,"Rajshahi, Bangladesh",April,High,High,Low,High,Low,Low,High,High
478,"Comilla, Bangladesh",May,Low,Low,High,Low,High,High,Low,Low
215,"Barisal, Bangladesh",June,High,High,Low,High,Low,Low,High,High
369,"Sylhet, Bangladesh",July,Low,Low,High,Low,High,Low,Low,Low
478,"Narayanganj, Bangladesh",August,High,High,Low,High,Low,Low,High,High
215,"Dinajpur, Bangladesh",September,Low,Low,High,Low,High,High,Low,Low
215,"Tangail, Bangladesh",October,High,High,Low,High,Low,Low,High,High
215,"Jessore, Bangladesh",November,Low,Low,High,Low,High,Low,Low,Low
215,"Nawabganj, Bangladesh",December,High,High,Low,High,Low,Low,High,High
365,"Colombo, Sri Lanka",January,Low,Low,High,Low,High,High,Low,Low
215,"Dehiwala-Mount Lavinia, Sri Lanka",February,High,High,Low,High,Low,Low,High,High
325,"Moratuwa, Sri Lanka",March,Low,Low,High,Low,Low,Low,Low,Low
215,"Jaffna, Sri Lanka",April,High,High,Low,High,Low,Low,High,High
478,"Negombo, Sri Lanka",May,Low,Low,High,Low,Low,High,Low,Low
215,"Pita Kotte, Sri Lanka",June,High,High,Low,High,Low,Low,High,High
369,"Kandy, Sri Lanka",July,Low,Low,High,Low,Low,Low,Low,Low
478,"Trincomalee, Sri Lanka",August,High,High,Low,High,Low,Low,High,High
215,"Kalmunai, Sri Lanka",September,Low,Low,High,Low,Low,High,Low,Low
215,"Galle, Sri Lanka",October,High,High,Low,High,Low,Low,High,High
215,"Point Pedro, Sri Lanka",November,Low,Low,High,Low,High,Low,Low,Low
215,"Batticaloa, Sri Lanka",December,High,High,Low,High,Low,Low,High,High
478,"Mombasa, Kenya",January,Low,Low,High,Low,High,High,Low,Low
215,"Nairobi, Kenya",February,High,High,Low,High,Low,Low,High,High
325,"Kisumu, Kenya",March,Low,Low,High,Low,High,Low,Low,Low
215,"Nakuru, Kenya",April,High,High,Low,High,Low,Low,High,High
478,"Eldoret, Kenya",May,Low,Low,High,Low,High,High,Low,Low
215,"Malindi, Kenya",June,High,High,Low,High,Low,Low,High,High
369,"Thika, Kenya",July,Low,Low,High,Low,High,Low,Low,Low
478,"Kitale, Kenya",August,High,High,Low,High,Low,Low,High,High
215,"Garissa, Kenya",September,Low,Low,High,Low,High,High,Low,Low
215,"Kakamega, Kenya",October,High,High,Low,High,Low,Low,High,High
215,"Kisii, Kenya",November,Low,Low,High,Low,High,Low,Low,Low
215,"Lamu, Kenya",December,High,High,Low,High,Low,Low,High,High
365,"Kampala, Uganda",January,Low,Low,High,Low,High,High,Low,Low
215,"Gulu, Uganda",February,High,High,Low,High,Low,Low,High,High
325,"Lira, Uganda",March,Low,Low,High,Low,High,Low,Low,Low
215,"Mbale, Uganda",April,High,High,Low,High,Low,Low,High,High
478,"Jinja, Uganda",May,Low,Low,High,Low,High,High,Low,Low
215,"Entebbe, Uganda",June,High,High,Low,High,Low,Low,High,High
369,"Masaka, Uganda",July,Low,Low,High,Low,High,Low,Low,Low
478,"Arua, Uganda",August,High,High,Low,High,Low,Low,High,High
215,"Fort Portal, Uganda",September,Low,Low,High,Low,High,High,Low,Low
215,"Mbarara, Uganda",October,High,High,Low,High,Low,Low,High,High
215,"Kasese, Uganda",November,Low,Low,High,Low,High,Low,Low,Low
215,"Soroti, Uganda",December,High,High,Low,High,Low,Low,High,High
478,"Kigali, Rwanda",January,Low,Low,High,Low,High,High,Low,Low
215,"Butare, Rwanda",February,High,High,Low,High,Low,Low,High,High
325,"Gitarama, Rwanda",March,Low,Low,High,Low,High,Low,Low,Low
215,"Ruhengeri, Rwanda",April,High,High,Low,High,Low,Low,High,High
478,"Gisenyi, Rwanda",May,Low,Low,High,Low,High,High,Low,Low
215,"Byumba, Rwanda",June,High,High,Low,High,Low,Low,High,High
369,"Cyangugu, Rwanda",July,Low,Low,High,Low,High,Low,Low,Low
478,"Kibuye, Rwanda",August,High,High,Low,High,Low,Low,High,High
215,"Kibungo, Rwanda",September,Low,Low,High,Low,High,High,Low,Low
215,"Nyamata, Rwanda",October,High,High,Low,High,Low,Low,High,High
215,"Kibeho, Rwanda",November,Low,Low,High,Low,High,Low,Low,Low
215,"Nyanza, Rwanda",December,High,High,Low,High,Low,Low,High,High
365,"Bujumbura, Burundi",January,Low,Low,High,Low,High,High,Low,Low
215,"Muyinga, Burundi",February,High,High,Low,High,Low,Low,High,High
325,"Gitega, Burundi",March,Low,Low,High,Low,High,Low,Low,Low
215,"Ruyigi, Burundi",April,High,High,Low,High,Low,Low,High,High
478,"Ngozi, Burundi",May,Low,Low,High,Low,High,High,Low,Low
215,"Kayanza, Burundi",June,High,High,Low,High,Low,Low,High,High
369,"Muramvya, Burundi",July,Low,Low,High,Low,High,Low,Low,Low
478,"Bubanza, Burundi",August,High,High,Low,High,Low,Low,High,High
215,"Makamba, Burundi",September,Low,Low,High,Low,High,High,Low,Low
215,"Cankuzo, Burundi",October,High,High,Low,High,Low,Low,High,High
215,"Nyanza Lac, Burundi",November,Low,Low,High,Low,High,Low,Low,Low
215,"Bururi, Burundi",December,High,High,Low,High,Low,Low,High,High
478,"Lilongwe, Malawi",January,Low,Low,High,Low,High,High,Low,Low
215,"Blantyre, Malawi",February,High,High,Low,High,Low,Low,High,Low
325,"Mzuzu, Malawi",March,Low,Low,High,Low,High,Low,Low,Low
215,"Zomba, Malawi",April,High,High,Low,High,Low,Low,High,High
478,"Kasungu, Malawi",May,Low,Low,High,Low,High,High,Low,Low
215,"Luchenza, Malawi",June,High,High,Low,High,Low,Low,High,High
369,"Karonga, Malawi",July,Low,Low,High,Low,High,Low,Low,Low
478,"Nkhotakota, Malawi",August,High,High,Low,High,Low,Low,High,High
215,"Liwaladzi, Malawi",September,Low,Low,High,Low,High,High,Low,Low
215,"Rumphi, Malawi",October,High,High,Low,High,Low,Low,High,High
215,"Nsanje, Malawi",November,Low,Low,High,Low,High,Low,Low,Low
215,"Mangochi, Malawi",December,High,High,Low,High,Low,Low,High,High
365,"Maputo, Mozambique",January,Low,Low,High,Low,High,High,Low,Low
215,"Matola, Mozambique",February,High,High,Low,High,Low,Low,High,High
325,"Beira, Mozambique",March,Low,Low,High,Low,High,Low,Low,Low
215,"Nampula, Mozambique",April,High,High,Low,High,Low,Low,High,High
478,"Chimoio, Mozambique",May,Low,Low,High,Low,High,High,Low,Low
215,"Quelimane, Mozambique",June,High,High,Low,High,Low,Low,High,High
369,"Tete, Mozambique",July,Low,Low,High,Low,High,Low,Low,Low
478,"Xai-Xai, Mozambique",August,High,High,Low,High,Low,Low,High,High
215,"Maxixe, Mozambique",September,Low,Low,High,Low,High,High,Low,Low
215,"Lichinga, Mozambique",October,High,High,Low,High,Low,Low,High,High
215,"Pemba, Mozambique",November,Low,Low,High,Low,High,Low,Low,Low
215,"Dondo, Mozambique",December,High,High,Low,High,Low,Low,High,High
478,"Bamako, Mali",January,Low,Low,High,Low,High,High,Low,Low
215,"Sikasso, Mali",February,High,High,Low,High,Low,High,High,High
325,"Mopti, Mali",March,Low,Low,High,Low,High,High,Low,Low
215,"Segou, Mali",April,High,High,Low,High,Low,High,High,High
478,"Kayes, Mali",May,Low,Low,High,Low,High,High,Low,Low
215,"Bougouni, Mali",June,High,High,Low,High,Low,High,High,High
369,"Timbuktu, Mali",July,Low,Low,High,Low,High,High,Low,Low
478,"Koutiala, Mali",August,High,High,Low,High,Low,High,High,High
215,"Bafoulabe, Mali",September,Low,Low,High,Low,High,High,Low,Low
215,"Gao, Mali",October,High,High,Low,High,Low,Low,High,High
215,"Kati, Mali",November,Low,Low,High,Low,High,Low,Low,Low
215,"Kolokani, Mali",December,High,High,Low,High,Low,Low,High,High
365,"Nouakchott, Mauritania",January,Low,Low,High,Low,High,High,Low,Low
215,"Nouadhibou, Mauritania",February,High,High,Low,High,Low,Low,High,High
325,"Kiffa, Mauritania",March,Low,Low,High,Low,High,Low,Low,Low
215,"Rosso, Mauritania",April,High,High,Low,High,Low,Low,High,High
478,"Zouerate, Mauritania",May,Low,Low,High,Low,High,High,Low,Low
215,"Atar, Mauritania",June,High,High,Low,High,Low,Low,High,High
369,"Kaedi, Mauritania",July,Low,Low,High,Low,High,Low,Low,Low
478,"Tidjikdja, Mauritania",August,High,High,Low,High,Low,Low,High,High
215,"Selibabi, Mauritania",September,Low,Low,High,Low,High,High,Low,Low
215,"Nema, Mauritania",October,High,High,Low,High,Low,Low,High,High
215,"Aleg, Mauritania",November,Low,Low,High,Low,High,Low,Low,Low
215,"Akjoujt, Mauritania",December,High,High,Low,High,Low,Low,High,High
478,"Banjul, The Gambia",January,Low,Low,High,Low,High,High,Low,Low
215,"Serekunda, The Gambia",February,High,High,Low,High,Low,Low,High,High
325,"Brikama, The Gambia",March,Low,Low,High,Low,High,Low,Low,Low
215,"Bakau, The Gambia",April,High,High,Low,High,Low,Low,High,High
478,"Farafenni, The Gambia",May,Low,Low,High,Low,High,High,Low,Low
215,"Lamin, The Gambia",June,High,High,Low,High,Low,Low,High,High
369,"Gunjur, The Gambia",July,Low,Low,High,Low,High,Low,Low,Low
478,"Basse Santa Su, The Gambia",August,High,High,Low,High,Low,Low,High,High
215,"Soma, The Gambia",September,Low,Low,High,Low,High,High,Low,Low
215,"Sabak, The Gambia",October,High,High,Low,High,Low,Low,High,High
215,"Essau, The Gambia",November,Low,Low,High,Low,High,Low,Low,Low
215,"Barra, The Gambia",December,High,High,Low,High,Low,Low,High,Low
365,"Conakry, Guinea",January,Low,Low,High,Low,High,High,Low,Low
478,"Livingstone, Zambia",January,Low,Low,High,Low,High,High,Low,Low
215,"Chipata, Zambia",February,High,High,Low,High,Low,Low,High,High
325,"Choma, Zambia",March,Low,Low,High,Low,High,Low,Low,Low
215,"Kabwe, Zambia",April,High,High,Low,High,Low,Low,High,High
478,"Kasama, Zambia",May,Low,Low,High,Low,High,High,Low,Low
215,"Mansa, Zambia",June,High,High,Low,High,Low,Low,High,High
369,"Kapiri Mposhi, Zambia",July,Low,Low,High,Low,High,Low,Low,Low
478,"Nchelenge, Zambia",August,High,High,Low,High,Low,Low,High,High
215,"Solwezi, Zambia",September,Low,Low,High,Low,High,High,Low,Low
215,"Chingola, Zambia",October,High,High,Low,High,Low,Low,High,High
215,"Mufulira, Zambia",November,Low,Low,High,Low,High,Low,Low,Low
215,"Kafue, Zambia",December,High,High,Low,High,Low,Low,High,High
365,"Harare, Zimbabwe",January,Low,Low,High,Low,High,High,Low,Low
215,"Bulawayo, Zimbabwe",February,High,High,Low,High,Low,Low,High,High
325,"Chitungwiza, Zimbabwe",March,Low,High,High,Low,High,Low,Low,Low
215,"Mutare, Zimbabwe",April,High,High,Low,High,Low,Low,High,High
478,"Gweru, Zimbabwe",May,Low,High,High,Low,High,High,Low,Low
215,"Epworth, Zimbabwe",June,High,High,Low,High,Low,Low,High,High
369,"Kwekwe, Zimbabwe",July,Low,High,High,Low,High,Low,Low,Low
478,"Kadoma, Zimbabwe",August,High,High,Low,High,Low,Low,High,High
215,"Masvingo, Zimbabwe",September,Low,High,High,Low,High,High,Low,Low
215,"Chinhoyi, Zimbabwe",October,High,High,Low,High,Low,Low,High,High
215,"Marondera, Zimbabwe",November,Low,High,High,Low,High,Low,Low,Low
215,"Norton, Zimbabwe",December,High,High,Low,High,Low,Low,High,High
478,"Lusaka, Zambia",January,Low,Low,High,Low,High,High,Low,Low
215,"Ndola, Zambia",February,High,High,Low,High,Low,Low,High,High
325,"Kitwe, Zambia",March,Low,Low,High,Low,High,Low,Low,Low
215,"Mongu, Zambia",April,High,High,Low,High,Low,Low,High,High
478,"Kafue, Zambia",May,Low,Low,High,Low,High,High,Low,Low
215,"Mufulira, Zambia",June,High,High,Low,High,Low,Low,High,High
369,"Kapiri Mposhi, Zambia",July,Low,Low,High,Low,High,Low,Low,Low
478,"Chingola, Zambia",August,High,High,Low,High,Low,Low,High,High
215,"Solwezi, Zambia",September,Low,Low,High,Low,High,High,Low,Low
215,"Nchelenge, Zambia",October,High,High,Low,High,Low,Low,High,High
215,"Livingstone, Zambia",November,Low,Low,High,Low,High,Low,Low,Low
215,"Chipata, Zambia",December,High,High,Low,High,Low,Low,High,High
365,"Harare, Zimbabwe",January,Low,Low,High,Low,High,High,Low,Low
215,"Bulawayo, Zimbabwe",February,High,High,Low,High,Low,Low,High,High
325,"Chitungwiza, Zimbabwe",March,Low,Low,High,Low,High,Low,Low,Low
215,"Mutare, Zimbabwe",April,High,High,Low,High,Low,Low,High,High
478,"Gweru, Zimbabwe",May,Low,Low,High,Low,High,High,Low,Low
215,"Epworth, Zimbabwe",June,High,High,Low,High,Low,Low,High,High
369,"Kwekwe, Zimbabwe",July,Low,Low,High,Low,High,Low,Low,Low
478,"Kadoma, Zimbabwe",August,High,High,Low,High,Low,Low,High,High
215,"Masvingo, Zimbabwe",September,Low,Low,High,Low,High,High,Low,Low
215,"Chinhoyi, Zimbabwe",October,High,High,Low,High,Low,Low,High,High
215,"Marondera, Zimbabwe",November,Low,Low,High,Low,High,Low,Low,Low
215,"Norton, Zimbabwe",December,High,High,Low,High,Low,Low,High,High
